artist,title,bpm,key,camelot,energy,danceability,happiness,popularity,acousticness,instrumentalness,speechiness,duration,status
NIKI,La La Lost You - Acoustic Version,101,C♯ Major,3B,20,62,39,74,91,0,6,3:29,ok
Neck Deep,Wish You Were Here,160,B♭ Major,6B,50,53,54,75,43,0,3,4:08,ok
Dewa 19,Separuh Nafas,100,F Major,7B,94,57,96,62,0,0,4,3:42,ok
Hindia,semua lagu cinta terdengar sama,160,G Major,9B,71,43,20,75,63,0,4,3:59,ok
Arsy Widianto,Masih Hatiku,136,A Major,11B,47,60,36,66,82,0,3,4:22,ok
Nadhif Basalamah,kota ini tak sama tanpamu,81,B♭ Major,6B,50,54,36,88,79,0,3,4:40,ok
Joji,Glimpse of Us,170,A♭ Major,4B,29,44,27,70,90,0,4,3:53,ok
Faris Adam,Stecu Stecu,103,A♭ Major,4B,83,83,91,72,12,0,6,3:44,ok
Sal Priadi,Mesra-mesraannya kecil-kecilan dulu,175,D Major,10B,34,36,31,64,79,24,4,3:30,ok
Rizky Febian,Hingga Tua Bersama,124,B♭ Major,6B,46,58,38,73,80,0,3,4:31,ok
Cigarettes After Sex,Apocalypse,94,F Major,7B,47,37,17,89,2,46,3,4:50,ok
The Goo Goo Dolls,Iris,156,B Minor,10A,72,32,50,93,0,0,4,4:50,ok
Kerispatih,Tapi Bukan Aku,135,G Major,9B,68,37,27,76,40,0,4,4:31,ok
Juan Reza,PICA PICA,216,C Major,8B,95,75,62,68,2,0,22,3:30,ok
Lyodra,Sang Dewi,82,F♯ Major,2B,58,34,32,60,55,0,3,4:08,ok
Pamungkas,I Love You but I'm Letting Go,79,F♯ Major,2B,32,34,13,66,97,0,3,3:40,ok
Troye Sivan,Angel Baby,72,B Major,1B,56,56,34,72,1,0,4,3:41,ok
Aan Story,Trauma,116,E Major,12B,51,64,40,66,83,0,3,3:38,ok
Batas Senja,Kita Usahakan Lagi,145,E Major,12B,55,52,45,75,22,3,3,3:54,ok
NIKI,lowkey,118,C Major,8B,49,75,23,79,43,0,6,2:51,ok
For Revenge,Sadrah,145,D Major,10B,74,42,34,67,1,0,3,4:07,ok
Barasuara,Terbuang Dalam Waktu,102,B Minor,10A,69,20,26,78,4,2,3,4:41,ok
Fiersa Besari,Waktu Yang Salah,130,G Major,9B,27,66,28,67,76,0,3,5:24,ok
Yovie Widianto,Menyesal,106,D♯ Minor,2A,22,36,21,62,92,0,3,3:23,ok
Hindia,Membasuh,187,C Major,8B,20,34,24,76,93,3,5,6:14,ok
Taylor Swift,august,90,F Major,7B,62,53,40,84,54,0,3,4:22,ok
Rony Parulian,Sepenuh Hati,74,F Major,7B,56,39,45,62,51,0,3,4:08,ok
The Weeknd,Die For You,134,C♯ Minor,12A,53,59,51,79,11,0,6,4:20,ok
NaFF,Kau Masih Kekasihku,146,G Major,9B,52,50,25,75,31,0,3,4:45,ok
Fiersa Besari,Garis Terdepan,87,D Major,10B,33,44,39,57,66,0,3,3:33,ok
Nyoman Paul,Tunggu Apa Lagi,125,B Minor,10A,65,66,54,63,51,0,3,3:39,ok
The Script,The Man Who Can't Be Moved,100,B♭ Major,6B,63,61,31,86,44,0,3,4:01,ok
Donne Maula,Bercinta Lewat Kata - OST Jatuh Cinta Seperti di Film-Film,143,C♯ Major,3B,3,22,21,16,72,94,4,1:43,ok
Banda Neira,Sampai Jadi Debu (Menampilkan Gardika Gigih),95,D Major,10B,11,42,13,71,99,4,4,6:48,ok
Andmesh,Cinta Luar Biasa,136,A Major,11B,24,59,31,74,83,0,3,4:18,ok
NaFF,Kenanglah Aku,138,C Major,8B,39,48,50,73,45,0,3,4:01,ok
Reality Club,Anything You Want,176,F Major,7B,58,21,31,69,1,1,3,3:56,ok
NDX A.K.A.,Tresno Tekan Mati New Version - Remastered 2023,145,F Major,7B,75,67,77,69,40,0,3,4:31,ok
Yovie & Nuno,Sampai Akhir Waktu,167,D Major,10B,52,38,23,73,30,0,3,3:35,ok
Sheila On 7,Hari Bersamanya,120,A Major,11B,68,63,79,74,31,0,3,3:53,ok
Tulus,Pamit,78,E Minor,9A,30,30,34,71,84,0,3,3:53,ok
Daniel Caesar,Always,136,D Major,10B,44,58,20,85,67,0,5,3:45,ok
Nabila Taqiyyah,Ku Ingin Pisah,79,G Major,9B,36,51,20,59,85,0,3,3:55,ok
Cigarettes After Sex,Cry,143,G Major,9B,40,41,16,89,76,67,3,4:17,ok
Stephen Sanchez,Until I Found You,101,B♭ Major,6B,51,54,23,79,73,0,3,2:58,ok
Tulus,Labirin,96,A Major,11B,49,70,67,69,78,0,4,3:03,ok
Feby Putri,Halu,87,D Major,10B,25,26,10,69,87,3,3,4:26,ok
Andmesh,Andaikan Kau Datang,85,A Major,11B,13,32,32,52,94,0,3,4:07,ok
Stephen Sanchez,Until I Found You,101,B♭ Major,6B,51,54,23,79,73,0,3,2:58,ok
Meiska,Keras Kepala,119,F Major,7B,49,47,18,68,76,0,4,4:57,ok
Kaleb J,It's Only Me - Studio Version,120,E Major,12B,30,60,32,65,31,0,4,3:23,ok
Alan Walker,Not You,130,F Major,7B,26,57,38,67,83,0,4,2:34,ok
Jaz,Bersamamu,74,G Minor,6A,58,42,46,61,37,0,3,3:41,ok
FIFTY FIFTY,Cupid - Twin Ver.,144,F Major,7B,73,74,75,53,42,0,4,2:25,ok
Bruno Mars,That's What I Like,134,C♯ Major,3B,56,85,86,92,1,0,4,3:27,ok
Gracie Abrams,That’s So True,109,C♯ Major,3B,81,55,37,92,21,0,4,2:46,ok
Lewis Capaldi,Someone You Loved,110,C♯ Major,3B,41,50,45,86,75,0,3,3:02,ok
Tiara Andini,Kupu - Kupu,122,G Minor,6A,75,69,57,58,47,0,4,4:02,ok
.Feast,Peradaban,97,F Minor,4A,84,57,64,72,3,67,2,5:39,ok
Jung Kook,Seven,125,B Major,1B,83,79,87,83,31,0,4,3:04,ok
ROSÉ,APT.,149,C Minor,5A,78,78,94,88,3,0,26,2:50,ok
Marcell,Takkan Terganti,104,F Minor,4A,28,36,12,73,70,0,3,4:02,ok
Rebellion Rose,"Aku, Kamu Dan Samudra",185,G Major,9B,73,41,81,9,3,0,3,4:16,ok
Nadin Amizah,Taruh,90,B Major,1B,24,35,55,74,98,0,5,4:10,ok
MikkyZia,Aku Dah Lupa,206,C♯ Minor,12A,56,72,62,72,37,0,8,3:02,ok
Seafret,Atlantis,166,G♯ Minor,1A,48,40,21,81,5,0,3,3:50,ok
Rizky Febian,Alamak,94,F♯ Major,2B,88,67,85,80,23,0,4,3:29,ok
One Direction,Strong,115,C Major,8B,66,74,34,73,6,0,4,3:04,ok
Coldplay,Fix You,138,E♭ Major,5B,42,21,12,86,16,0,3,4:56,ok
Juicy Luicy,Tak Di Tanganku,168,F♯ Major,2B,46,46,59,71,44,0,3,3:52,ok
Rombongan Bodonk Koplo,Calon Mantu Idaman,130,E♭ Major,5B,74,82,75,76,53,0,6,3:09,ok
yuji,Old Love,142,B Major,1B,37,48,36,72,72,0,3,4:09,ok
Dendi Nata,Abadi - Indo Version,140,G Major,9B,64,51,44,7,12,0,3,4:17,ok
SZA,Saturn,178,C♯ Major,3B,62,41,34,77,62,0,4,3:06,ok
Yovie Widianto,Terlalu Cinta,119,A♭ Major,4B,47,36,40,72,84,0,3,4:19,ok
Rex Orange County,THE SHADE,120,F Major,7B,51,90,73,74,39,0,6,3:02,ok
SAMSONS,Di Ujung Jalan,140,A Major,11B,65,41,26,80,5,0,3,3:54,ok
Last Child,Bernafas Tanpamu,145,D Major,10B,60,45,29,71,1,0,3,4:56,ok
Element,Rahasia Hati - Remastered 2023,75,C Major,8B,44,53,44,75,33,0,3,3:10,ok
Lyodra,Ego,128,D Major,10B,29,33,18,61,92,0,3,4:34,ok
Adele,Easy On Me,142,F Major,7B,37,60,13,78,58,0,3,3:45,ok
Maroon 5,Memories,91,B Major,1B,33,78,60,82,84,0,6,3:09,ok
John Mayer,You're Gonna Live Forever in Me,136,G Major,9B,13,54,32,71,98,1,3,3:10,ok
Mario G klau,Semata Karenamu,124,E♭ Major,5B,33,60,30,59,36,0,5,4:39,ok
Lyodra,Tak Selalu Memiliki - Ipar Adalah Maut Original Soundtrack,140,D Major,10B,42,48,31,60,78,0,3,4:21,ok
Katy Perry,Wide Awake,160,F Major,7B,68,52,57,78,7,0,4,3:41,ok
Ziva Magnolya,Pilihan Yang Terbaik,121,E♭ Major,5B,29,49,20,65,92,0,4,3:54,ok
Perunggu,33x,101,D Major,10B,68,62,30,59,0,1,3,7:15,ok
Sheila On 7,Seberapa Pantas,163,B♭ Major,6B,89,43,64,72,7,0,8,4:01,ok
James Arthur,A Thousand Years,139,D Major,10B,47,53,27,69,40,0,3,4:14,ok
Ariana Grande,Stuck with U,179,A♭ Major,4B,45,60,54,80,22,0,4,3:48,ok
Benson Boone,In The Stars,78,B♭ Major,6B,54,36,30,75,34,0,5,3:36,ok
Sezairi,It's You,138,A♭ Major,4B,46,63,17,61,55,0,3,4:11,ok
Aziz Hedra,Somebody's Pleasure (Extended Version),113,C Minor,5A,54,51,33,71,71,0,3,4:41,ok
Stacey Ryan,Fall In Love Alone,172,G Minor,6A,63,68,52,70,32,0,7,3:25,ok
HONNE,Location Unknown ◐ (feat. BEKA) - Brooklyn Session,92,F Major,7B,29,51,40,37,94,0,4,5:28,ok
The Kid LAROI,Stay,170,C♯ Major,3B,76,59,48,81,4,0,5,2:22,ok
Ziva Magnolya,Cukup,122,F♯ Major,2B,38,55,18,67,87,0,3,3:40,ok
NIKI,Every Summertime,79,F♯ Major,2B,68,63,72,76,39,0,4,3:36,ok
Vierra,Terlalu Lama,150,F Major,7B,57,53,39,74,34,1,3,4:08,ok
Naif,Benci Untuk Mencinta,78,D Major,10B,29,55,18,65,72,0,3,4:01,ok
Bruno Mars,Locked out of Heaven,144,F Major,7B,70,73,87,91,5,0,4,3:53,ok
Skinnyfabs,happy,88,E♭ Major,5B,43,73,69,56,51,1,3,2:53,ok
Kendis,ours to keep,180,C Major,8B,38,38,26,74,71,0,3,3:28,ok
Yovie Widianto,Adu Rayu,100,F Major,7B,37,54,23,67,61,0,5,3:28,ok
Salma Salsabil,Bunga Hati,93,F♯ Minor,11A,68,52,42,57,68,0,5,2:54,ok
Sheila On 7,Kita,123,B Major,1B,62,69,84,75,15,0,3,4:37,ok
Troye Sivan,Strawberries & Cigarettes,84,A Major,11B,54,58,25,75,16,0,8,3:22,ok
Idgitaf,Takut,80,D Major,10B,24,53,22,74,96,0,3,5:20,ok
keshi,LIMBO,130,A♭ Major,4B,37,58,8,73,88,0,4,3:33,ok
Ricky Montgomery,Line Without a Hook,190,A♭ Major,4B,65,43,51,80,26,0,3,4:10,ok
Guyon Waton,Pelanggaran,130,F Major,7B,56,61,41,66,49,0,3,4:57,ok
Guyon Waton,Sanes,130,A♭ Major,4B,64,61,54,65,18,0,3,5:02,ok
Afgan,Bukan Cinta Biasa,140,F♯ Minor,11A,43,34,16,23,78,1,3,4:11,ok
Nadin Amizah,Beranjak Dewasa,115,C Major,8B,33,56,8,72,45,0,3,4:58,ok
Stephanie Poetri,I Love You 3000,90,F♯ Major,2B,38,65,40,69,91,0,4,3:30,ok
Ardhito Pramono,I Just Couldn't Save You Tonight,85,G Major,9B,32,37,15,61,85,0,4,3:40,ok
Afgan,Jodoh Pasti Bertemu,136,D Major,10B,57,47,16,73,53,0,3,4:05,ok
Utopia,Hujan,145,G Major,9B,81,65,64,75,9,0,4,3:56,ok
Aku Jeje,Lihat Kebunku (Taman Bunga),118,F♯ Major,2B,27,49,39,81,82,5,4,3:10,ok
Judika,Bagaimana Kalau Aku Tidak Baik Baik Saja,130,D Major,10B,46,46,33,69,78,0,3,3:52,ok
Ecko Show,Orang Baru Lebe Gacor,216,B♭ Major,6B,90,76,96,80,5,0,9,3:37,ok
Fourtwnty,Aku Tenang,114,B Major,1B,15,46,17,68,92,0,4,3:50,ok
Lavora,Rasah Bali,125,D Major,10B,52,61,52,71,74,0,3,4:25,ok
Taylor Swift,Enchanted,164,A♭ Major,4B,62,46,21,64,7,0,3,5:52,ok
Ariana Grande,intro (end of the world),85,B♭ Major,6B,36,51,39,77,67,0,4,1:32,ok
Shawn Mendes,Señorita,117,A Minor,8A,54,76,75,79,4,0,3,3:11,ok
Anne-Marie,2002,96,C♯ Minor,12A,68,70,60,79,4,0,12,3:07,ok
Pink Sweat$,At My Worst,92,C Major,8B,42,81,67,67,78,0,3,2:50,ok
Mahalini,Aku Yang Salah,120,C♯ Major,3B,42,56,17,69,69,0,3,4:12,ok
Jogja Hip Hop Foundation,Cintamu Sepahit Topi Miring,194,B Major,1B,80,74,56,65,15,0,28,4:54,ok
Fourtwnty,"Zona Nyaman (From ""Filosofi Kopi 2: Ben & Jody"")",120,E Major,12B,65,52,35,67,36,0,3,4:03,ok
Tulus,Sewindu,92,G Major,9B,49,62,48,63,84,0,4,4:00,ok
Afgan,Ku Dengannya Kau Dengan Dia,132,C♯ Major,3B,31,34,9,74,29,0,3,4:29,ok
NewJeans,Ditto,134,F♯ Minor,11A,64,81,18,80,3,0,11,3:06,ok
Charlie Puth,Cheating on You,123,E Major,12B,54,75,60,75,1,0,3,3:17,ok
Virgoun,Orang Yang Sama,140,A Major,11B,41,46,44,69,52,0,3,4:29,ok
Kerispatih,Mengenangmu,130,G Major,9B,64,41,21,75,39,0,3,4:37,ok
Payung Teduh,Akad,92,A Major,11B,71,50,77,70,32,4,8,4:18,ok
Jin,Don’t Say You Love Me,112,A♭ Major,4B,56,73,76,85,48,0,3,3:01,ok
